src,dest,ts,weight
180,177,1082760701,1
180,181,1082760770,1
41,177,1082760774,1
180,182,1082760824,1
41,180,1082760907,1
41,90,1082760927,1
41,63,1082760957,1
32,177,1082760983,1
41,180,1082761090,1
41,63,1082761113,1
41,177,1082761126,1
177,180,1082761158,1
177,180,1082761222,1
177,32,1082761270,1
41,180,1082761300,1
41,177,1082761355,1
41,180,1082761360,1
32,177,1082761381,1
41,63,1082761387,1
183,184,1082761481,1
41,63,1082761670,1
177,32,1082761714,1
32,177,1082761774,1
41,177,1082761821,1
177,32,1082761844,1
175,32,1082761883,1
32,177,1082761899,1
32,175,1082761929,1
41,168,1082762000,1
175,32,1082762126,1
41,168,1082762237,1
41,177,1082762245,1
177,32,1082762257,1
63,174,1082762279,1
174,63,1082762297,1
63,174,1082762307,1
174,63,1082762336,1
41,168,1082762347,1
41,177,1082762371,1
32,175,1082762390,1
63,174,1082762402,1
174,63,1082762433,1
41,168,1082762438,1
9,32,1082762460,1
41,177,1082762473,1
63,174,1082762476,1
32,177,1082762483,1
175,32,1082762517,1
32,175,1082762611,1
41,168,1082762645,1
41,177,1082762674,1
41,168,1082762684,1
41,168,1082762692,1
63,155,1082762737,1
174,63,1082762749,1
41,177,1082762768,1
177,32,1082762776,1
41,168,1082762783,1
175,32,1082762794,1
63,174,1082762808,1
174,63,1082762872,1
63,174,1082762893,1
41,168,1082762941,1
41,177,1082762963,1
41,177,1082762996,1
32,175,1082763017,1
41,177,1082763018,1
175,32,1082763210,1
175,32,1082763231,1
32,175,1082763310,1
41,177,1082763388,1
41,168,1082763401,1
174,63,1082763405,1
63,174,1082763464,1
41,168,1082763499,1
41,168,1082763600,1
41,177,1082763628,1
41,168,1082763653,1
41,177,1082763676,1
174,63,1082763703,1
63,174,1082763721,1
41,168,1082764013,1
41,177,1082764066,1
41,177,1082764348,1
41,177,1082764380,1
41,177,1082764726,1
9,32,1082764739,1
41,177,1082764741,1
41,185,1082764751,1
41,168,1082764765,1
185,147,1082764926,1
185,32,1082765093,1
41,185,1082765160,1
41,177,1082765177,1
32,185,1082765317,1
186,185,1082765326,1
140,185,1082765334,1
155,32,1082765335,1
32,155,1082765358,1
185,186,1082765391,1
155,63,1082765449,1
41,177,1082765558,1
103,177,1082765609,1
187,186,1082765753,1
185,97,1082765842,1
103,97,1082765877,1
187,186,1082765895,1
41,185,1082765985,1
41,185,1082766007,1
41,186,1082766048,1
41,185,1082766056,1
41,186,1082766129,1
185,63,1082766306,1
41,168,1082766341,1
187,186,1082766411,1
63,155,1082766483,1
63,185,1082766522,1
103,58,1082766618,1
103,63,1082766673,1
187,186,1082766732,1
103,188,1082766936,1
189,175,1082766944,1
189,175,1082766995,1
140,185,1082767092,1
187,186,1082767095,1
185,109,1082767113,1
140,185,1082767413,1
189,8,1082767956,1
102,97,1082767959,1
140,185,1082768102,1
41,86,1082768241,1
41,188,1082768524,1
101,100,1082769241,1
101,190,1082769860,1
191,175,1082769878,1
101,190,1082769881,1
101,190,1082769911,1
101,190,1082769980,1
101,190,1082770002,1
103,192,1082770053,1
101,190,1082770114,1
101,190,1082770155,1
101,190,1082770168,1
101,190,1082770219,1
101,190,1082770244,1
101,190,1082770255,1
101,190,1082770267,1
101,190,1082770273,1
193,149,1082770316,1
101,100,1082770326,1
193,190,1082770368,1
191,78,1082770403,1
101,190,1082770419,1
101,190,1082770427,1
190,109,1082770493,1
101,190,1082770514,1
193,190,1082770540,1
109,124,1082770830,1
103,109,1082770830,1
103,190,1082770915,1
103,109,1082771103,1
103,109,1082771192,1
41,192,1082771989,1
194,149,1082773129,1
194,195,1082773594,1
176,20,1082775359,1
176,61,1082775364,1
176,149,1082775380,1
176,120,1082775385,1
176,132,1082775390,1
176,86,1082775399,1
176,97,1082775423,1
176,72,1082775447,1
176,58,1082775451,1
176,8,1082775456,1
176,196,1082775659,1
176,197,1082775667,1
176,198,1082775671,1
176,199,1082775680,1
176,200,1082775684,1
176,190,1082775688,1
176,192,1082775693,1
176,201,1082775697,1
176,188,1082775701,1
176,202,1082775708,1
176,185,1082775713,1
176,203,1082775718,1
176,180,1082775731,1
176,181,1082775740,1
176,177,1082775745,1
176,184,1082775753,1
176,175,1082775760,1
176,166,1082776512,1
204,205,1082781313,1
204,104,1082781353,1
204,184,1082781636,1
189,144,1082782188,1
3,185,1082800184,1
3,32,1082800962,1
199,58,1082801087,1
63,185,1082801384,1
63,199,1082801545,1
63,184,1082801592,1
199,101,1082801875,1
194,199,1082803272,1
194,206,1082803366,1
194,207,1082803425,1
204,123,1082803627,1
121,191,1082803777,1
175,191,1082803804,1
204,129,1082803825,1
63,199,1082803874,1
101,184,1082803877,1
101,208,1082803980,1
63,46,1082804057,1
63,199,1082805118,1
101,88,1082805656,1
191,121,1082806359,1
191,175,1082806372,1
103,177,1082806461,1
199,20,1082806563,1
184,101,1082806622,1
103,132,1082806670,1
199,209,1082806921,1
101,184,1082807044,1
36,105,1082807406,1
103,210,1082807459,1
36,209,1082807551,1
184,101,1082808057,1
209,199,1082808182,1
199,209,1082808400,1
199,210,1082808563,1
101,184,1082808897,1
184,101,1082810293,1
176,101,1082811737,1
68,101,1082812140,1
32,198,1082812940,1
211,101,1082814358,1
212,209,1082814366,1
211,213,1082814602,1
211,93,1082814625,1
211,85,1082814672,1
189,199,1082814998,1
214,215,1082815869,1
103,109,1082815909,1
103,215,1082815952,1
103,82,1082815973,1
44,214,1082815993,1
103,215,1082816169,1
63,199,1082816171,1
63,199,1082816208,1
103,215,1082816318,1
103,215,1082816343,1
103,168,1082816428,1
214,109,1082816443,1
215,67,1082816503,1
103,215,1082816532,1
214,215,1082816539,1
41,215,1082816544,1
41,216,1082816565,1
103,127,1082816642,1
215,62,1082816807,1
214,109,1082816905,1
176,217,1082817017,1
176,216,1082817039,1
176,218,1082817198,1
103,109,1082817366,1
219,124,1082817649,1
19,109,1082817776,1
63,127,1082818184,1
88,101,1082818313,1
103,168,1082818495,1
103,56,1082818682,1
63,127,1082818793,1
103,56,1082818831,1
214,56,1082818833,1
214,56,1082818882,1
63,127,1082819034,1
51,215,1082819205,1
19,175,1082819482,1
19,109,1082819510,1
44,214,1082819549,1
215,51,1082819627,1
44,214,1082819811,1
19,215,1082819940,1
19,215,1082819982,1
103,175,1082820400,1
44,214,1082820420,1
19,215,1082820780,1
103,175,1082820816,1
214,175,1082820829,1
51,215,1082820928,1
19,215,1082820952,1
214,215,1082821007,1
215,51,1082821055,1
19,215,1082821160,1
96,95,1082821356,1
96,32,1082821443,1
19,215,1082821444,1
96,164,1082821470,1
103,215,1082821497,1
103,215,1082821664,1
19,215,1082821750,1
144,185,1082821919,1
103,168,1082822025,1
220,214,1082822026,1
220,32,1082822127,1
19,215,1082822139,1
144,32,1082822237,1
103,175,1082822453,1
103,175,1082822544,1
175,214,1082822561,1
103,175,1082822627,1
103,175,1082822742,1
103,175,1082822936,1
176,221,1082823302,1
103,98,1082823817,1
3,32,1082824408,1
222,120,1082824466,1
41,222,1082824492,1
41,222,1082825016,1
41,223,1082825509,1
214,175,1082825685,1
41,97,1082825849,1
41,134,1082825996,1
51,215,1082826065,1
36,222,1082826127,1
36,221,1082826189,1
212,66,1082826379,1
96,224,1082826659,1
175,214,1082827071,1
214,175,1082827121,1
225,223,1082827452,1
36,221,1082827485,1
36,214,1082827525,1
176,223,1082827548,1
176,226,1082827561,1
221,161,1082827579,1
36,221,1082827594,1
44,226,1082827839,1
221,161,1082827979,1
36,221,1082828100,1
221,161,1082828354,1
56,214,1082828534,1
221,161,1082828540,1
221,161,1082828721,1
221,161,1082829021,1
161,221,1082829339,1
36,221,1082829480,1
36,214,1082829548,1
221,161,1082829858,1
204,221,1082830250,1
227,26,1082830381,1
211,228,1082831094,1
214,101,1082831767,1
229,230,1082832576,1
220,214,1082832711,1
96,231,1082832960,1
96,232,1082833021,1
103,221,1082833095,1
103,20,1082833416,1
103,86,1082833478,1
220,214,1082833600,1
220,214,1082833848,1
103,66,1082834001,1
212,66,1082834418,1
124,109,1082834591,1
103,185,1082834907,1
212,6,1082835132,1
103,185,1082835262,1
103,8,1082835474,1
63,202,1082835548,1
63,185,1082835586,1
103,93,1082835921,1
63,185,1082835933,1
9,233,1082837912,1
103,233,1082837981,1
9,97,1082838227,1
9,190,1082838336,1
166,234,1082839816,1
69,34,1082839924,1
69,34,1082839958,1
235,191,1082839992,1
69,185,1082840223,1
41,166,1082841461,1
41,32,1082841524,1
3,32,1082842283,1
3,132,1082842403,1
1,30,1082842765,1
41,32,1082843254,1
41,173,1082843266,1
103,166,1082844039,1
63,127,1082844717,1
63,199,1082845036,1
103,166,1082845344,1
63,92,1082845673,1
97,228,1082846205,1
97,228,1082846205,1
103,58,1082848135,1
191,136,1082848808,1
32,58,1082849260,1
131,30,1082850103,1
191,236,1082850128,1
32,237,1082850309,1
9,235,1082850411,1
101,34,1082850456,1
237,32,1082850477,1
97,191,1082850493,1
48,81,1082850562,1
48,81,1082850567,1
175,214,1082850870,1
176,233,1082851106,1
9,101,1082851120,1
48,52,1082851409,1
48,52,1082851413,1
48,175,1082851435,1
52,48,1082851484,1
48,52,1082851571,1
9,177,1082851790,1
97,191,1082851832,1
9,175,1082851844,1
52,48,1082851844,1
175,48,1082851933,1
96,48,1082852079,1
41,32,1082852111,1
9,175,1082852170,1
41,174,1082852250,1
9,175,1082852547,1
48,175,1082853087,1
12,175,1082853099,1
48,52,1082853179,1
175,48,1082853237,1
48,175,1082853261,1
12,175,1082853265,1
12,168,1082853302,1
12,175,1082853327,1
52,48,1082853360,1
175,48,1082853364,1
48,52,1082853413,1
12,81,1082853424,1
12,175,1082853451,1
48,175,1082853472,1
175,48,1082853595,1
12,175,1082853630,1
48,175,1082853652,1
12,175,1082853654,1
52,48,1082853683,1
48,52,1082853757,1
12,175,1082853772,1
175,48,1082853836,1
52,48,1082853853,1
12,175,1082853916,1
48,52,1082853936,1
12,175,1082853951,1
48,175,1082853968,1
12,175,1082854021,1
175,48,1082854050,1
52,48,1082854069,1
12,175,1082854144,1
12,175,1082854187,1
12,175,1082854210,1
220,214,1082854243,1
12,175,1082854275,1
88,220,1082854288,1
48,175,1082854340,1
48,52,1082854358,1
12,175,1082854435,1
175,48,1082854457,1
52,48,1082854458,1
9,175,1082854507,1
48,175,1082854552,1
12,175,1082854571,1
12,175,1082854649,1
175,48,1082854656,1
12,175,1082854727,1
9,175,1082854737,1
48,175,1082854811,1
12,175,1082854812,1
48,52,1082854832,1
9,175,1082854869,1
175,48,1082854907,1
9,209,1082854907,1
12,175,1082854919,1
48,175,1082855018,1
103,66,1082855043,1
103,52,1082855132,1
12,175,1082855149,1
103,66,1082855167,1
175,48,1082855179,1
52,48,1082855203,1
103,66,1082855271,1
12,175,1082855278,1
12,175,1082855299,1
48,52,1082855427,1
48,175,1082855473,1
175,48,1082855558,1
48,175,1082855615,1
48,175,1082855641,1
9,175,1082855643,1
9,209,1082855652,1
175,48,1082855740,1
175,48,1082855820,1
220,48,1082855939,1
9,175,1082855939,1
48,175,1082855992,1
144,185,1082856013,1
175,48,1082856124,1
220,48,1082856136,1
48,175,1082856245,1
144,222,1082856325,1
220,48,1082856335,1
175,48,1082856340,1
220,48,1082856351,1
220,48,1082856517,1
48,175,1082856520,1
220,48,1082856553,1
175,48,1082856654,1
48,175,1082856675,1
220,48,1082856713,1
175,48,1082856740,1
144,195,1082856749,1
48,175,1082856780,1
191,237,1082856802,1
220,48,1082856835,1
175,48,1082856959,1
220,48,1082857016,1
48,175,1082857074,1
220,95,1082857142,1
95,168,1082857161,1
220,48,1082857210,1
176,198,1082857221,1
220,95,1082857243,1
191,175,1082857244,1
220,95,1082857277,1
176,201,1082857344,1
175,48,1082857346,1
175,191,1082857384,1
191,175,1082857400,1
48,175,1082857422,1
175,191,1082857456,1
175,48,1082857464,1
191,175,1082857493,1
144,88,1082857510,1
175,191,1082857511,1
220,48,1082857512,1
191,175,1082857544,1
175,191,1082857600,1
144,238,1082857636,1
191,175,1082857642,1
175,191,1082857698,1
220,95,1082857705,1
239,175,1082857719,1
144,240,1082857769,1
239,175,1082857829,1
239,236,1082857872,1
220,95,1082857944,1
220,48,1082858053,1
220,95,1082858094,1
12,90,1082858194,1
220,95,1082858305,1
144,23,1082858322,1
220,95,1082858379,1
3,132,1082858391,1
220,95,1082858953,1
220,95,1082859027,1
220,95,1082859287,1
103,52,1082859332,1
144,32,1082859407,1
220,48,1082859432,1
144,48,1082859574,1
36,222,1082859615,1
220,95,1082859645,1
88,144,1082859659,1
220,95,1082859726,1
220,95,1082859918,1
220,95,1082860118,1
144,48,1082860509,1
220,48,1082860790,1
144,48,1082860797,1
220,95,1082860804,1
220,95,1082860821,1
220,48,1082860846,1
9,144,1082861016,1
144,241,1082861981,1
103,144,1082862422,1
9,216,1082864066,1
194,242,1082865811,1
194,199,1082865883,1
194,209,1082865959,1
194,182,1082866022,1
32,144,1082884311,1
32,243,1082884627,1
204,241,1082888509,1
63,127,1082889064,1
227,144,1082889614,1
194,209,1082892127,1
168,95,1082892914,1
63,127,1082893527,1
44,214,1082893941,1
41,32,1082896041,1
9,244,1082897248,1
245,191,1082897448,1
228,97,1082897735,1
211,228,1082900058,1
211,246,1082900273,1
19,52,1082900484,1
233,88,1082901293,1
34,242,1082901589,1
19,233,1082901823,1
127,63,1082903067,1
143,32,1082903365,1
143,95,1082903414,1
9,235,1082903701,1
9,177,1082903728,1
63,127,1082904405,1
32,88,1082904443,1
211,233,1082904660,1
88,32,1082905180,1
32,88,1082905403,1
247,248,1082905485,1
248,247,1082905594,1
176,248,1082905775,1
176,248,1082905996,1
211,232,1082906835,1
88,32,1082907073,1
176,248,1082907513,1
176,63,1082907564,1
32,88,1082907604,1
249,63,1082907659,1
41,250,1082908466,1
41,248,1082908469,1
95,168,1082908478,1
41,251,1082908483,1
34,242,1082908780,1
176,72,1082909224,1
44,88,1082910425,1
103,177,1082911127,1
103,86,1082911250,1
12,168,1082912011,1
51,86,1082912167,1
212,252,1082912491,1
176,63,1082912583,1
41,97,1082912703,1
168,95,1082912828,1
249,63,1082912857,1
212,34,1082912887,1
212,252,1082912906,1
176,63,1082912912,1
212,252,1082913095,1
176,63,1082913196,1
212,34,1082913248,1
249,63,1082913398,1
212,34,1082913658,1
103,63,1082913764,1
144,247,1082913805,1
204,51,1082913826,1
103,63,1082913867,1
101,208,1082913901,1
212,34,1082914140,1
212,252,1082914233,1
53,253,1082916335,1
9,251,1082916378,1
164,8,1082918030,1
8,164,1082918122,1
212,34,1082918510,1
44,88,1082918704,1
44,48,1082918867,1
44,88,1082918900,1
44,48,1082919038,1
254,8,1082919080,1
8,254,1082919151,1
44,88,1082919304,1
254,8,1082919355,1
95,168,1082919493,1
254,8,1082919678,1
8,254,1082919825,1
254,8,1082919945,1
8,254,1082919999,1
254,8,1082920139,1
1,255,1082921423,1
103,256,1082923038,1
143,32,1082923115,1
204,257,1082923740,1
52,48,1082924081,1
258,76,1082924255,1
168,95,1082924733,1
259,260,1082924980,1
261,256,1082925050,1
19,52,1082925105,1
204,81,1082925273,1
19,52,1082925285,1
259,256,1082925365,1
51,260,1082925518,1
260,51,1082925643,1
204,262,1082925647,1
19,52,1082925705,1
103,260,1082925723,1
263,254,1082925738,1
263,254,1082925911,1
204,51,1082925956,1
260,51,1082926164,1
